from	to	trigger	trigger_kind	guard	actor	reversible	weight	evidence
S00_open	S01_requested	change:requested added	label_add	none -- this is the human's whole part	human	yes	0.59	change/label-owners.tsv:31
S00_open	S10_dev_served	deploy.sh dev-<n> <sha>	deploy_event	ports.sh must yield a block <= 9; block 10 is the team tier	driver	yes	0.20	targets/node/deploy.sh:40
S00_open	S12_team_checked_out	IDP checkout of a 9100-tier environment	human	the environment must be activated	human	yes	0.05	environments.tsv:29
S00_open	S13_team_declared_unactivated	deploy to a declared name whose activated=no	deploy_event	a declared name is not a usage error	driver	yes	0.04	targets/node/deploy.sh:64
S00_open	S05_emergency_declared	itil:emergency added	label_add	a person must own declaring an emergency	human	yes	0.06	change/label-owners.tsv:60
S00_open	S60_failed	PR closed or abandoned before any estate contact	human	none	human	no	0.06	change/abort.sh:123
S01_requested	S20_scheduled	schedule.sh block <pr> staging <minutes>	human	a window must be placeable after the latest open end	scheduler	yes	0.63	spec.org:861
S01_requested	S02_release_armed	release added	label_add	none	human	yes	0.10	change/label-owners.tsv:36
S01_requested	S50_blocked_queue	guard 1 -- another open PR holds deploy:staging	gate_verdict	the label query is the authority, not the concurrency group	gate	yes	0.15	change/queue.sh:47
S01_requested	S51_blocked_freeze	preflight exit 3 or 2 -- the estate is shut	gate_verdict	guard 3	gate	yes	0.10	gates/preflight.sh:291
S01_requested	S60_failed	abort.sh failed	human	none	human	no	0.02	change/abort.sh:123
S02_release_armed	S20_scheduled	the scheduler consumes the trigger	timer	the change must be eligible	scheduler	yes	0.76	change/label-owners.tsv:36
S02_release_armed	S02_release_armed	the trigger is left on and re-fires	timer	the label is still present	scheduler	yes	0.20	change/label-owners.tsv:36
S02_release_armed	S60_failed	abort.sh failed	human	none	human	no	0.04	change/abort.sh:123
S05_emergency_declared	S24_cleared	deploy:production added on the emergency path	label_add	guard 4 -- itil:emergency AND an approving review; guard 2 re-checked on the head SHA	workflow	yes	0.70	spec.org:1228
S05_emergency_declared	S60_failed	no approving review, or gate-selftest red on the head SHA	gate_verdict	guard 2 and guard 5 have no emergency bypass	gate	yes	0.15	scenarios.org:113
S05_emergency_declared	S20_scheduled	the classification is withdrawn	label_remove	a class must be re-confirmed at activation, not trusted from when it was written	human	yes	0.15	scenarios.org:257
S10_dev_served	S00_open	ports.sh free, or the worktree is removed	human	none	driver	yes	0.45	change/ports.sh:26
S10_dev_served	S11_dev_stale_row	the block's processes die; the ports.tsv row stays	deploy_event	none -- nothing reconciles the registry against the socket table	driver	yes	0.25	targets/node/deploy.sh:147
S10_dev_served	S01_requested	change:requested added	label_add	none	human	yes	0.30	change/label-owners.tsv:31
S11_dev_stale_row	S10_dev_served	redeploy -- deploying IS the allocation, so the row is rewritten	deploy_event	block < 10	driver	yes	0.55	targets/node/deploy.sh:151
S11_dev_stale_row	S00_open	the registry is reconciled by hand	human	one worktree holds at most one block	human	yes	0.45	change/ports.sh:33
S12_team_checked_out	S00_open	checked back in, or the lease expires	timer	none	scheduler	yes	0.70	README.org:507
S12_team_checked_out	S01_requested	the change is requested; nothing the team environment saw travels with it	human	NO PROMOTION EDGE EXISTS -- guard 4 reads staging:* and production:* and nothing else	human	yes	0.30	environments.tsv:14
S13_team_declared_unactivated	S00_open	deploy refused, exit 6 -- a reservation, not a target	deploy_event	activated=no; activating it is a decision, not a deploy	driver	yes	1.00	targets/node/deploy.sh:64
S20_scheduled	S21_berthed	activation -- preflight 0, then queue.sh validates guards 0 and 1	deploy_event	G0 up-to-date-with-main by divergence class, G1 berth free, no lock, no freeze	workflow	yes	0.48	change/queue.sh:46
S20_scheduled	S50_blocked_queue	guard 1 refuses; deploy:staging removed, blocked:queue set	gate_verdict	another open PR holds the berth	gate	yes	0.12	change/queue.sh:49
S20_scheduled	S51_blocked_freeze	preflight exit 3	gate_verdict	a FREEZE event covers the window; an itil:emergency passes it	gate	yes	0.07	gates/preflight.sh:291
S20_scheduled	S52_blocked_lock	preflight exit 2	gate_verdict	the lock names another PR and the run is under 60 minutes old	gate	yes	0.06	gates/preflight.sh:6
S20_scheduled	S80_unreachable	preflight exit 4 -- the schedule could not be read	gate_verdict	INDETERMINATE. Exit 4 BLOCKS; an unreadable schedule is an unknown, not a yes	gate	yes	0.08	gates/preflight.sh:52
S20_scheduled	S62_expired	the window's end passes unattempted	timer	end < now and the window is still open	reaper	no	0.10	change/reap.sh:41
S20_scheduled	E90_freeze	a person declares a freeze	label_add	ESTATE-GLOBAL -- on issue #1, never on a PR	human	yes	0.04	change/label-owners.tsv:54
S20_scheduled	E91_emergency	a person declares an estate emergency	label_add	ESTATE-GLOBAL -- separate from itil:emergency by construction	human	yes	0.03	change/label-owners.tsv:56
S20_scheduled	E93_actuator_exposed	the control-plane origin is published beyond the LAN	human	ESTATE-GLOBAL; no authenticating proxy in front of the write endpoints	human	yes	0.02	spec.org:571
S20_scheduled	S60_failed	abort.sh failed	human	none	human	no	0.01	change/abort.sh:123
S21_berthed	S22_staging_serving	deploy.sh staging <sha>; :9200 answers x-build-sha = head	deploy_event	the SHA must be a real commit in this repository	driver	yes	0.58	targets/node/deploy.sh:81
S21_berthed	S72_attested_unserved	the deploy reports success and the environment dies with the shell that started it	deploy_event	none -- the deploy HAD deployed and was right to say so	driver	yes	0.08	targets/node/deploy.sh:109
S21_berthed	S70_orphan_berth	the window ends while deploy:staging is still held	timer	settle.sh is unreachable for a change nobody drove	scheduler	no	0.12	change/reap.sh:46
