from	to	trigger	trigger_kind	guard	actor	reversible	weight	evidence
PR_OPEN	PR_CLASSIFIED	labeller derives itil:standard or itil:normal from the diff	label_add	exactly one class results	labeller	yes	0.70	.github/workflows/labeller.yml:43-48
PR_OPEN	PR_CLASS_UNDEFINED	a person declares itil:emergency over a derived class	label_add	no reconciler exists between derived and declared class	human	yes	0.05	gates/preflight.sh:183-195
PR_OPEN	PR_MANIFEST_ASSERTED	a person adds labeler:skip	label_add	none -- this is an ownership transfer, not a guard	human	yes	0.10	.github/workflows/labeller.yml:13
PR_OPEN	EMG_DECLARED	a person declares itil:emergency	label_add	a person must own declaring an emergency; never inferred	human	yes	0.08	change/label-owners.tsv:55
PR_OPEN	T_ABANDONED	the PR is closed	forge_event	none	human	no	0.02	[H]
PR_CLASS_UNDEFINED	PR_CLASSIFIED	a person removes the class that is wrong	label_remove	recovery is a declaration, never a derivation	human	yes	0.85	gates/preflight.sh:192-194
PR_CLASS_UNDEFINED	T_ABANDONED	the PR is closed while its class is undefined	forge_event	none	human	no	0.05	[H]
PR_MANIFEST_ASSERTED	PR_CLASSIFIED	a person hand-sets app:* and the class	label_add	labeler:skip disables the classify step too, so the class is asserted as well	human	yes	0.85	spec.org:732-742
PR_MANIFEST_ASSERTED	PR_CLASS_UNDEFINED	hand-set classes collide	label_add	the exclusion is not enforced at write time	human	yes	0.15	change/label-owners.tsv:86
PR_CLASSIFIED	PR_REQUESTED	a person adds change:requested	label_add	the only label a person adds to set a change going	human	yes	0.80	change/label-owners.tsv:30
PR_CLASSIFIED	EMG_DECLARED	a person declares this change the remedy	label_add	precedence is claimed, not derived	human	yes	0.10	research/history/precedence-and-locks.org:6-8
PR_CLASSIFIED	T_ABANDONED	the PR is closed	forge_event	none	human	no	0.03	[H]
PR_REQUESTED	PR_SCHEDULED	the scheduler books a window	label_add	a reservation on a change no gate can judge must be refused at booking	scheduler	yes	0.82	change/schedule.sh:357-363
PR_REQUESTED	EMG_QUEUE_ESCALATED	the queue wait exceeds patience	timer	none -- this is the bypass being chosen, not refused	human	yes	0.13	gates/simulate-gates.py:186-196
PR_REQUESTED	T_ABANDONED	the PR is closed while queued	forge_event	none	human	no	0.02	[H]
PR_SCHEDULED	PR_PREFLIGHT	the window comes due	timer	the window is not inside a freeze at ACTIVATION, not at booking	scheduler	yes	0.80	change/activate.sh:258, change/schedule.sh:264
PR_SCHEDULED	PR_EXPIRED	the window end passes unattempted	timer	expired is its own closure code; the reaper must not rebook	reaper	no	0.15	change/reap.sh:16-22
