from	to	trigger	trigger_kind	guard	actor	reversible	weight	evidence
dep01	dep02	change:requested added	label_add	none: asking is unconditional	human	yes	0.55	change/label-owners.tsv:36
dep01	dep03	release added	label_add	none: a person may ask for the whole path	human	yes	0.12	change/watch.sh:29
dep01	dep01	push to the PR; the labeller re-derives app:* and itil:*	forge_event	sync-labels owns the manifest	labeller	no	0.23	.github/workflows/labeller.yml:44
dep01	dep36	PR closed with no claim ever taken	forge_event	none	human	no	0.10	[H]
dep02	dep04	schedule.sh block reserves a window; change:scheduled set, change:requested cleared	label_add	no clashing OPEN window on this environment; the slot must be able to hold the work	scheduler	yes	0.72	change/schedule.sh:256
dep02	dep03	release added on top of a standing request	label_add	none	human	yes	0.10	change/watch.sh:29
dep02	dep01	the ask is withdrawn before any booking	label_remove	only a person may withdraw their own ask	human	yes	0.08	[H]
dep02	dep36	PR closed while requested	forge_event	none	human	no	0.10	[H]
dep03	dep05	watch.sh consumes release, sets change:requested, books if no window covers now, and calls activation	label_remove	the trigger is consumed FIRST so a dead run does not re-fire	scheduler	no	0.72	change/watch.sh:37
dep03	dep02	release consumed but the change carries no app:* label, so there is nothing to deploy	label_remove	groups.sh returns empty	scheduler	no	0.16	change/watch.sh:41
dep03	dep06	release consumed and a window could not be booked because staging is busy	label_remove	schedule.sh block refused	scheduler	no	0.12	change/watch.sh:50
dep04	dep05	the window comes due	timer	reserving is not deploying: every guard is re-derived at this moment	scheduler	no	0.52	change/schedule.sh:265
dep04	dep26	the window end passes with nothing attempted	timer	end < now among OPEN windows	reaper	no	0.24	change/reap.sh:41
dep04	dep27	schedule.sh unschedule gives the slot back; closed cancelled, change:scheduled cleared	human	somebody decided; cancelled is not expired	human	yes	0.09	change/schedule.sh:296
dep04	dep08	a freeze is declared covering the reserved window	label_add	the estate is closed; detected when check runs at activation, not at booking	human	yes	0.07	change/schedule.sh:263
dep04	dep36	PR closed while booked	forge_event	none	human	no	0.08	[H]
dep05	dep10	guards 3, 2 and 0 pass, then guard 1 adds deploy:staging	label_add	an open window covers now AND gates green on this head AND not BEHIND AND no other holder	driver	no	0.46	change/activate.sh:268
dep05	dep06	guard 1: another open PR holds deploy:staging	label_add	holder != this PR	workflow	yes	0.11	change/queue.sh:50
dep05	dep07	the deployment lock is held by another PR and is younger than 60 minutes	label_add	age_min(started_at) < 60	workflow	yes	0.05	change/lock.sh:49
dep05	dep08	preflight exit 3: a freeze or an emergency covers this window	label_add	freeze OR emergency on the estate	gate	yes	0.06	gates/preflight.sh:6
dep05	dep09	preflight exit 4: the change schedule could not be read	gate_verdict	INDETERMINATE. 4 blocks; it does not proceed	gate	yes	0.06	gates/preflight.sh:7
dep05	dep04	guard 2 refuses: the gates are not green on this head. The window is still open	gate_verdict	latest check run per name, gate-selftest among them	gate	yes	0.11	change/activate.sh:213
dep05	dep32	itil:emergency is declared on this change	label_add	a person declares the class; the labeller must not pick	human	yes	0.05	spec.org:1228
dep05	dep25	guard 3 accepts a window that has already lapsed, because schedule.sh current returns 0 for an expired window, and the berth is then claimed	gate_verdict	the guard read a stale reservation as an open one	driver	no	0.03	change/reap.sh:9
dep05	dep02	activation died for a reason no guard names; the change stops and re-requesting is a human act	deploy_event	none	driver	no	0.12	change/watch.sh:55
dep06	dep05	the holder settled and release.sh announced the free berth on the queue issue; a person re-requests	human	guard 0 will refuse a branch behind main, so rebase first	human	yes	0.62	change/release.sh:47
dep06	dep26	this change's own window lapses while it waits	timer	end < now	reaper	no	0.24	change/reap.sh:41
dep06	dep36	abandoned in the queue	forge_event	none	human	no	0.14	[H]
dep07	dep05	the lock is released by the holder's always() step, or cleared as stale at 60 minutes	forge_event	release runs in always(); stale clears unconditionally	workflow	no	0.74	change/lock.sh:61
dep07	dep26	the window lapses while the lock is held	timer	end < now	reaper	no	0.26	change/reap.sh:41
dep08	dep05	the freeze is lifted from the estate issue	label_remove	only a person may lift a freeze	human	yes	0.48	change/label-owners.tsv:60
dep08	dep26	the freeze outlasts the window	timer	end < now	reaper	no	0.44	change/reap.sh:41
dep08	dep32	the change is redeclared an emergency, which passes the freeze	label_add	a person declares the class; the freeze governs the estate, the class governs one change	human	yes	0.08	spec.org:1250
dep09	dep05	the oracle is polled again within the bound and returns one of the two real answers	gate_verdict	the third value is never a verdict; poll, with a bound	gate	yes	0.55	spec.org:2739
dep09	dep26	the bound expires with the answer still indeterminate and the window lapses	timer	indeterminate, said out loud, not resolved in either direction	reaper	no	0.38	spec.org:2741
dep09	dep36	abandoned while nothing can be established	forge_event	none	human	no	0.07	[H]
dep10	dep11	the deploy places the build and staging answers with this SHA	deploy_event	the SHA must resolve to a commit in this repository; health in manifest mode confirms the deploy took	driver	no	0.58	change/activate.sh:288
dep10	dep30	the deploy failed and nothing was placed, or the authorizing run refused the estate	deploy_event	the deploy's own exit status, unpiped	driver	yes	0.12	.github/workflows/deploy-staging.yml:31
dep10	dep25	the deploy reported ok while staging stayed on the old build, or the window lapsed with the berth still held	deploy_event	none: this is the absence of a guard	driver	no	0.09	change/reap.sh:46
dep10	dep28	an artifact or hotfix merge lands on main underneath the claim	forge_event	divergence class in {artifact, hotfix}; berth KEPT and extended	workflow	no	0.08	change/state.sh:105
dep10	dep29	a push moves the head; observations are withdrawn on synchronize	forge_event	self-inflicted: release the berth, rejoin the queue	labeller	no	0.08	spec.org:1183
dep10	dep31	the acceptance suite refuses on entry to staging: the journey is not what was accepted	gate_verdict	acceptance is a record of what was accepted, and the flow is different	gate	no	0.05	scenarios.org:669
dep11	dep12	the authorizing e2e and smoke pass against the staging slot and record the SHA	gate_verdict	the STAGING-SLOT run authorizes, never the in-runner one	gate	no	0.68	change/activate.sh:294
dep11	dep30	the authorizing run fails; staging:e2e-failed or staging:smoke-failed is recorded	gate_verdict	a recorded failure outranks any pass beside it	gate	yes	0.22	gates/e2e.sh:202
dep11	dep31	acceptance refuses the deployed build	gate_verdict	first difference from the accepted journey, which is not necessarily the intended one	gate	no	0.10	scenarios.org:669
dep12	dep14	a person uses the deployed build and accepts it; the record names the SHA served there	label_add	observe.sh refuses unless the URL serves this PR's head	human	yes	0.38	change/observe.sh:29
dep12	dep13	the change is held on staging and probed throughout the hold	human	a point measurement is not evidence of survival	driver	no	0.33	change/soak.sh:29
dep12	dep28	an artifact or hotfix merge lands under a verified change; the pass is withdrawn, the berth extended	forge_event	class in {artifact, hotfix}: your image is no longer what you would deploy	workflow	no	0.11	spec.org:1168
dep12	dep29	a push moves the head and the staging verdict is dropped	forge_event	a pass observed on an earlier commit authorizes nothing	labeller	no	0.11	.github/workflows/labeller.yml:98
dep12	dep25	the window lapses with the berth held and staging serving a build nobody is driving	timer	none	reaper	no	0.07	change/reap.sh:46
dep13	dep12	every probe served this build healthily for the whole hold	gate_verdict	BOTH HTTP 200 and the expected build; a 200 from the previous build is not this change surviving	gate	no	0.58	change/soak.sh:74
