sha	date	cell	merge	kind	paths	subject	note	timeline	repro	required	protocol	issues	repro_cmd	repro_writes	note_cell	claim	runnable	repro_out	issue_state	opened	validation	verdict	evidence
7d02a66	2026-09-13	hydra	no	gate	2	fix(guards): superseded is not current -- take the latest check run per name	no	na	na	yes	missing-note	-	-	na	-	fix(guards): superseded is not current -- take the latest check run per	na	na	-	-	gate	unverifiable	protocol defect: kind=gate requires a note, none present
9332ed3	2026-09-13	hydra	no	apps	1	fix(core): add the h2 rule the served stylesheet was missing (#53)	no	na	na	no	not-required	#53	-	na	-	fix(core): add the h2 rule the served stylesheet was missing (#53)	na	na	53:pr-merged	-	none	unverifiable	no corroborating evidence found
ea31818	2026-09-13	hydra	no	docs	2	docs(scenarios): D14 broken change and expired window, D15 superseded check runs	no	na	na	no	not-required	#54,#56	-	na	-	docs(scenarios): D14 broken change and expired window, D15 superseded check runs	na	na	54:pr-merged,56:pr-closed	-	none	unverifiable	no corroborating evidence found
705fa6b	2026-09-13	hydra	no	apps	1	feat(dashboard): drop the colour column, put the activation on front	no	na	na	no	not-required	-	-	na	-	feat(dashboard): drop the colour column, put the activation on front	na	na	-	-	none	unverifiable	no corroborating evidence found
126c03a	2026-09-13	hydra	no	apps	1	fix(core): add the where-am-I rules the served stylesheet was missing (#54)	no	na	na	no	not-required	#54	-	na	-	fix(core): add the where-am-I rules the served stylesheet was missing (#54)	na	na	54:pr-merged	-	none	unverifiable	no corroborating evidence found
0c12a64	2026-09-13	hydra	no	docs	2	docs(scenarios): D16 -- the driver walked past a refusal into production	no	na	na	no	not-required	#54	-	na	-	docs(scenarios): D16 -- the driver walked past a refusal into production	na	na	54:pr-merged	-	none	unverifiable	no corroborating evidence found
d69c279	2026-09-13	hydra	no	docs	1	docs(adr): missing a window is a control-flow path, not a failure	no	na	na	no	not-required	#55	-	na	-	docs(adr): missing a window is a control-flow path, not a failure	na	na	55:pr-closed	-	none	unverifiable	no corroborating evidence found
76553c9	2026-09-13	hydra	no	spec	2	spec: 0.5 -- defect taxonomy, boundary conditions, nomenclature	no	na	na	yes	missing-note	#1	-	na	-	spec: 0.5 -- defect taxonomy, boundary conditions, nomenclature	na	na	1:issue-open	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
9416d98	2026-09-13	hydra	no	docs	1	docs(screenshots): the board with a refused change expiring, unreaped	no	na	na	no	not-required	#56,#57	-	na	-	docs(screenshots): the board with a refused change expiring, unreaped	na	na	56:pr-closed,57:pr-merged	-	none	unverifiable	no corroborating evidence found
cc6bd04	2026-09-13	hydra	no	apps	1	fix(plp): say 'right now' in the heading when the catalogue is unavailable (#57)	no	na	na	no	not-required	#57	-	na	-	fix(plp): say 'right now' in the heading when the catalogue is unavailable	na	na	57:pr-merged	-	none	unverifiable	no corroborating evidence found
3f08640	2026-09-13	hydra	no	docs	2	docs: where a person must act, and the build by the numbers	no	na	na	no	not-required	-	-	na	-	docs: where a person must act, and the build by the numbers	na	na	-	-	none	unverifiable	no corroborating evidence found
3e18849	2026-09-13	hydra	no	experiment	1	docs(experiments): the five-slot post-implementation review	no	na	na	no	not-required	#21	-	na	-	docs(experiments): the five-slot post-implementation review	na	na	21:pr-open	-	none	unverifiable	no corroborating evidence found
944c541	2026-09-13	hydra	no	experiment	9	feat(experiments): 016 -- DORA metrics for the 2026-09-13/14 release night	no	na	na	no	not-required	#40,#54	-	na	-	feat(experiments): 016 -- DORA metrics for the 2026-09-13/14 release night	na	na	40:pr-closed,54:pr-merged	-	none	unverifiable	no corroborating evidence found
