from	to	trigger	trigger_kind	guard	actor	reversible	weight	evidence
G01	G02	labeller derives app:* and itil:* from the diff	label_add	labeler:skip absent	labeller	yes	0.75	spec.org:747-760
G01	G03	a person sets labeler:skip	label_add	none	human	yes	0.05	spec.org:732-742
G01	G08	the PR was opened as a draft	forge_event	none	human	yes	0.10	tla/StandardChange.tla:66-68
G01	G93	the author closes it	forge_event	none	human	no	0.04	change/abort.sh:12-21
G02	G04	classify step derives exactly one itil:* from the diff	label_add	is_normal xor has_app	labeller	yes	0.85	spec.org:797-825
G02	G05	a person declares itil:emergency on a derived class	label_add	none	human	yes	0.15	gates/preflight.sh:170-190
G03	G04	a person sets the class by hand	label_add	none	human	yes	0.90	change/label-owners.tsv:31
G03	G05	the hand-set class collides with a declaration	label_add	none	human	yes	0.10	gates/preflight.sh:170-190
G04	G20	gate.yml fires on opened/synchronize/labeled	forge_event	none	workflow	no	0.95	.github/workflows/gate.yml:2-5
G04	G05	a second class is declared	label_add	none	human	yes	0.05	gates/preflight.sh:183-190
G05	G04	a person removes the class that is wrong	label_remove	never the pipeline: deciding an emergency is a declaration	human	yes	0.75	gates/preflight.sh:186-190
G05	G91	abandoned with its class undefined	human	none	human	no	0.15	change/abort.sh:12-21
G20	G21	the jobs are scheduled and start	forge_event	none	workflow	no	0.70	.github/workflows/gate.yml:10-27
G20	G25	the jobs are never started; conclusion=skipped or null	gate_verdict	notrun>0 and failed=0	gate	no	0.10	gates/preflight.sh:107-110
G20	G26	the forge cannot be read at all	gate_verdict	bad=99 sentinel	gate	no	0.05	gates/preflight.sh:74,113
G20	G29	gates/report.sh runs the suite on a host and posts local/ statuses	gate_verdict	gate-selftest first, and its result gates the rest	gate	no	0.15	gates/report.sh:85-94
G21	G22	gate-selftest fails or does not pass	gate_verdict	selftest(H(c)) != pass	gate	no	0.05	.github/workflows/gate.yml:10-27
G21	G23	latest run per name is success, selftest among them	gate_verdict	group_by(.name)|map(max_by(.started_at))	gate	yes	0.55	gates/preflight.sh:127-130
G21	G24	a gate finds something	gate_verdict	zero findings or the gate failed	gate	yes	0.25	spec.org:1819-1821
G21	G27	fresh runs land beside older runs on the same SHA	forge_event	none	workflow	no	0.10	scenarios.org D15
G21	G25	the run is cancelled mid-flight	forge_event	none	workflow	no	0.05	gates/preflight.sh:107-110
G22	G20	the suite is re-run; nothing is carried forward	gate_verdict	a gate that cannot reject its fail fixture produces no verdict that run	gate	no	1.00	spec.org:1816-1819
G23	G06	a person adds change:requested	label_add	none	human	yes	0.60	change/label-owners.tsv:32
G23	G28	the author pushes; the head moves	forge_event	verdicts are bound to a content hash	workflow	no	0.25	spec.org:744-746
G23	G80	guard 6 evaluates on a label event and reports NOT YET	gate_verdict	production:healthy absent	gate	yes	0.15	gates/production-first.sh:114-116
G24	G20	the author pushes a fix	forge_event	none	human	no	0.80	tla/StandardChange.tla:74-87
G24	G91	the change is abandoned red	human	none	human	no	0.05	change/abort.sh:12-21
G24	G93	the author closes it	forge_event	none	human	no	0.05	change/abort.sh:22-25
G25	G44	preflight refuses: absent is not red, and it blocks	gate_verdict	exit 4	gate	yes	0.60	gates/preflight.sh:119-126
G25	G20	the jobs are re-queued and start	forge_event	none	workflow	no	0.40	gates/preflight.sh:107-110
G26	G44	preflight refuses: could not check is not a verdict	gate_verdict	exit 4	gate	yes	0.60	gates/preflight.sh:113
G26	G20	the forge answers	forge_event	none	workflow	no	0.40	gates/preflight.sh:74
G27	G23	the reader takes the latest run per name	gate_verdict	group_by(.name)|map(max_by(.started_at))	gate	yes	0.85	gates/preflight.sh:77-82
G27	G24	the reader counts history and refuses on replaced evidence	gate_verdict	superseded is not current	gate	yes	0.15	scenarios.org D15
G28	G20	the gates run again on the new head	forge_event	the old verdict stays true about a build nobody proposes	workflow	no	1.00	change/evidence.sh:16-20
G29	G40	a person requests the berth on a locally reported build	label_add	lbad=0 and lok>=3 and lself>=1	human	yes	0.80	gates/preflight.sh:114-118
G29	G23	CI returns and its contexts sit beside the local ones	forge_event	none	workflow	yes	0.20	gates/preflight.sh:57-67
G06	G47	the scheduler books a window	label_add	change:requested present	scheduler	yes	0.70	change/label-owners.tsv:33
G06	G40	the berth is requested with no window booked	label_add	none	human	yes	0.20	gates/preflight.sh:31-53
G06	G07	a person declares this change the remedy	label_add	never inferred	human	yes	0.10	change/label-owners.tsv:56
G47	G40	the window comes due and the berth is claimed	timer	none	scheduler	yes	0.85	change/schedule.sh
G47	G48	the window lapses unattempted	timer	nothing was attempted, so nothing failed	reaper	no	0.15	change/reap.sh:16-22
G48	G06	the change is still eligible and needs a new window	human	the reaper must not rebook	human	yes	0.85	change/reap.sh:16-22
G48	G93	nobody re-requests it	human	none	human	no	0.10	change/reap.sh:74-77
G07	G40	an emergency claims the berth	label_add	itil:emergency exempts the freeze and the queue, not guards 2 or 5	human	yes	0.90	gates/preflight.sh:286-291
G07	G05	itil:emergency lands beside a derived class	label_add	none	human	yes	0.10	gates/preflight.sh:170-176
