# ledger.tsv -- one row per mainline commit, written by
# experiments/026-mainline-review/extract.py and completed by the driver agent.
#
# Columns 1-16 are mechanical. The extractor fills them and the driver agent
# never edits them. Columns 17-24 are judgement. The extractor writes `?` and
# the driver agent replaces every `?` with a value from the vocabulary below.
#
#  1 sha           short sha of the commit on main
#  2 date          author date, YYYY-MM-DD
#  3 cell          mini | hydra | unknown        which operator produced it
#  4 merge         yes | no                      more than one parent
#  5 kind          spec | gate | change-script | model | experiment | research
#                  | docs | apps | chore         first matching path rule
#  6 paths         count of files touched
#  7 subject       commit subject, tabs and newlines flattened to spaces
#  8 note          yes | no                      a git note exists
#  9 timeline      yes | no | na                 note has a Timeline section
# 10 repro         yes | no | na                 note has a Reproduction section
# 11 required      yes | no                      protocol required a note
# 12 protocol      ok | missing-note | note-incomplete | not-required
# 13 issues        comma-joined #N from subject, body and note, or -
# 14 repro_cmd     ` ; `-joined command lines lifted from the note, or -
# 15 repro_writes  yes | no | na                 a repro command writes state
# 16 note_cell      the note's own `Cell:` line, or -   where it was observed
#
# 17 claim         one short clause, what the commit asserts is now true
# 18 runnable      yes | no-moved | no-writes | no-slow | no-host | no-forge | na
# 19 repro_out     same | differs | na           re-run output against the note
# 20 issue_state   per-reference, comma-joined, or -. A `#N` in this repo is
#                  an issue or a pull request, so the vocabulary covers both:
#                  N:issue-open | N:issue-closed | N:pr-open | N:pr-merged
#                  | N:pr-closed | N:unknown
# 21 opened        #N the note says it opened, comma-joined, or -
# 22 validation    driver | grind | experiment | tlc | sim | gate | none
#                  comma-joined when more than one touched it
# 23 verdict       confirmed | confirmed-by-note-only | unverifiable
#                  | contradicted | no-claim
# 24 evidence      one line, the observation the verdict rests on
sha	date	cell	merge	kind	paths	subject	note	timeline	repro	required	protocol	issues	repro_cmd	repro_writes	note_cell	claim	runnable	repro_out	issue_state	opened	validation	verdict	evidence
7d02a66	2026-09-13	hydra	no	gate	2	fix(guards): superseded is not current -- take the latest check run per name	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=gate requires a note, none present
9332ed3	2026-09-13	hydra	no	apps	1	fix(core): add the h2 rule the served stylesheet was missing (#53)	no	na	na	no	not-required	#53	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
ea31818	2026-09-13	hydra	no	docs	2	docs(scenarios): D14 broken change and expired window, D15 superseded check runs	no	na	na	no	not-required	#54,#56	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
705fa6b	2026-09-13	hydra	no	apps	1	feat(dashboard): drop the colour column, put the activation on front	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
126c03a	2026-09-13	hydra	no	apps	1	fix(core): add the where-am-I rules the served stylesheet was missing (#54)	no	na	na	no	not-required	#54	-	na	-	?	?	?	?	?	?	confirmed	survival present 2/2
0c12a64	2026-09-13	hydra	no	docs	2	docs(scenarios): D16 -- the driver walked past a refusal into production	no	na	na	no	not-required	#54	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
d69c279	2026-09-13	hydra	no	docs	1	docs(adr): missing a window is a control-flow path, not a failure	no	na	na	no	not-required	#55	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
76553c9	2026-09-13	hydra	no	spec	2	spec: 0.5 -- defect taxonomy, boundary conditions, nomenclature	no	na	na	yes	missing-note	#1	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
9416d98	2026-09-13	hydra	no	docs	1	docs(screenshots): the board with a refused change expiring, unreaped	no	na	na	no	not-required	#56,#57	-	na	-	?	?	?	?	?	?	unverifiable	survival na: no added line long enough to grep
cc6bd04	2026-09-13	hydra	no	apps	1	fix(plp): say 'right now' in the heading when the catalogue is unavailable (#57)	no	na	na	no	not-required	#57	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
