id	name	kind	terminal	description
PR_OPEN	open, unclassified	lifecycle	no	A pull request exists. No itil:* class derived yet, so every rule that branches on the class has no arm to take.
PR_CLASSIFIED	classified	lifecycle	no	Exactly one itil:* class present. itil:standard/itil:normal derived by the labeller from the diff; itil:emergency only ever declared by a person.
PR_CLASS_UNDEFINED	class undefined	composite	no	Two or more itil:* classes on one PR. preflight refuses (exit 2) rather than picking, because picking would mean the pipeline deciding what is an emergency. Only a person resolves it.
PR_MANIFEST_ASSERTED	manifest asserted (labeler:skip)	intent	no	labeler:skip is on the PR. The labeller is switched off entirely, so app:* and the class are hand-maintained. The OVERRIDE THAT TRANSFERS OWNERSHIP: no guard is silenced, the declared writer moves from labeller to human, and the PR wears the label saying so.
PR_REQUESTED	change requested	intent	no	change:requested added by a person. The one label a human adds to set a change going; the pipeline clears it.
PR_SCHEDULED	window booked	lifecycle	no	change:scheduled. A reservation on the path to production. An entitlement, not permission and not a promise.
PR_EXPIRED	window lapsed	lifecycle	no	The reservation ended unattempted and the reaper closed it. Its own closure code: not failed (nothing was attempted) and not cancelled (nobody decided against it). The change is untouched and still eligible.
PR_PREFLIGHT	at the moment of reliance	composite	no	Every guard re-evaluated NOW, at activation: draft, calendar, gates, berth, estate flags, hold. This is the only place the protection layer is actually read, and it is read again on every re-entry.
PR_DRAFT_REFUSED	refused: draft	intent	no	preflight exit 6. The author's own marker says not ready. The one refusal that is the pipeline BELIEVING THE AUTHOR rather than forming a judgement. Only the author lifts it.
PR_BEHIND_MAIN	refused: behind main (guard 0)	lifecycle	no	mergeStateStatus BEHIND/BLOCKED/DIRTY and the divergence classifies as pipeline or worse. Bypassed by itil:emergency; the PIR then records the divergence.
PR_BERTH	holds the berth	lifecycle	no	deploy:staging. The singleton lock on the path to production, worn as a label by the PR holding it. Estate-global in effect, PR-local in form.
PR_OBSERVED	observations taken on this head	observation	no	staging e2e / smoke / uat records exist naming THIS head SHA. Records, not labels, are what guard 4 authorizes on.
PR_HELD	held by hold:staging	composite	no	THE CONTRADICTION. hold:staging is declared REJECTED with no owner and human_add=no, and is still enforced at three sites. A person put it there; only a person may take it off; no automation may lift it and it never expires into a promotion.
PR_AUTHORIZED	authorized for production (guard 4)	composite	no	Review on this head, gates green on this head, every required observation recorded on this head, no un-withdrawn failure, no hold. Authorization is about a BUILD and expires when the head moves.
